Year,Province,"Average age, both sexes","Average age, men","Average age, women",Citizens of foreign countries,Demographic dependency ratio,Economic dependency ratio,Finnish speakers,Foreign-language speakers,"Land area, km²",Persons born abroad,Persons with foreign background,Population 31 Dec,Sami speakers,"Share of persons aged 15 to 64, %","Share of persons aged 65 or over, %","Share of persons aged under 15, %",Swedish speakers
2003,Eastern Finland,41.92824626814524,40.28676510904281,43.49017792277219,5643.0,60.00697674418604,187.0860465116279,576796.0,6252.0,48636.05,8351.0,7002.0,583624.0,17.0,65.12658269707894,18.35031510013296,16.507914342110674,559.0
2003,Northern Finland,38.813451563762406,37.54021761923264,40.094462073133876,5945.0,58.34915254237288,185.9457627118644,640290.0,5863.0,150114.17,12909.0,7176.0,648564.0,1548.0,65.84672075539191,14.805994011385154,19.358684879210067,863.0
2003,Southern Finland,38.889714293376926,37.35093179398619,40.3320984429677,59038.0,53.89,132.865,1523817.0,73926.0,17818.9,80925.0,78807.0,1715186.0,73.0,69.12399745566952,13.076896849671114,17.8234873652187,117370.0
2003,Western Finland,40.80606699825623,39.10094398872113,42.42101454425657,35629.0,59.22926829268293,148.1140243902439,2052904.0,38074.0,85608.84,55468.0,44147.0,2237103.0,66.0,65.78766225783973,16.94919223656667,17.272652846113925,146059.0
2004,Eastern Finland,42.22895439134327,40.62980002715108,43.788244098506865,5783.0,60.27441860465117,186.45116279069768,574637.0,6727.0,48636.05,8797.0,7436.0,581929.0,16.0,65.02341419657725,18.74174615803646,16.22100737375178,549.0
2004,Northern Finland,39.051833272093575,37.80269352401188,40.32462975575333,6435.0,58.63898305084746,184.3186440677966,641426.0,6557.0,150114.78,13573.0,7856.0,650449.0,1570.0,65.71991116905399,15.121216882491943,19.158304648020064,896.0
2004,Southern Finland,39.10442322560289,37.560091616211835,40.54772313761745,59376.0,54.220000000000006,131.9875,1528631.0,78357.0,17818.9,84656.0,83158.0,1724149.0,74.0,68.99492607657459,13.316782250257956,17.664489031980416,117087.0
2004,Western Finland,41.017716094010794,39.329274561660235,42.6246025308133,36048.0,59.61829268292683,147.50243902439024,2057710.0,40859.0,85608.23,58156.0,46896.0,2244891.0,72.0,65.64172416389037,17.21990689080227,17.12814127723796,146250.0
2005,Eastern Finland,42.55156448644238,40.9384741707506,44.088119080024356,6024.0,60.10697674418604,183.5279069767442,571838.0,7268.0,48445.21,9322.0,7973.0,579711.0,19.0,65.13223692495053,18.924773895958502,15.942294177616086,586.0
2005,Northern Finland,39.318777723771944,38.07141858314947,40.5622251388776,6836.0,58.63050847457627,182.35762711864407,642565.0,7147.0,149849.68,14131.0,8430.0,652193.0,1574.0,65.72628945726187,15.286909089793971,18.988348081012823,907.0
2005,Southern Finland,39.317260960007005,37.796025060988114,40.7522055351174,62909.0,54.052499999999995,131.1575,1534114.0,85271.0,17837.44,90859.0,90120.0,1736404.0,84.0,69.06704021644732,13.481870866457346,17.472694488149074,116935.0
2005,Western Finland,41.235306845484295,39.572813788920435,42.82026986044748,37316.0,59.18231707317073,145.57256097560978,2061713.0,43895.0,85675.46,61054.0,49883.0,2252127.0,75.0,65.71561714770083,17.339711614842322,16.945219652355306,146444.0
2006,Eastern Finland,42.85299927423644,41.26702695025141,44.40051773443982,6479.0,61.03488372093023,178.4813953488372,568750.0,7959.0,48440.68,9919.0,8642.0,577323.0,22.0,64.82385458400236,19.506893541397105,15.68467963341145,592.0
2006,Northern Finland,39.55271970756195,38.30390402347344,40.79863581998582,7135.0,59.72372881355932,175.83389830508474,642878.0,7580.0,149832.28,14551.0,8866.0,652993.0,1582.0,65.36405244772914,15.830470005038338,18.805697610847286,953.0
2006,Southern Finland,39.49115089598814,38.00844175877164,40.893047308036415,67780.0,55.120000000000005,128.4625,1540556.0,93005.0,17836.87,97678.0,97807.0,1750358.0,88.0,68.81057063754956,13.92192397212456,17.263878760802076,116709.0
2006,Western Finland,41.42221608456464,39.78638951088569,42.989139559866565,39525.0,59.86585365853659,140.84878048780487,2066949.0,47470.0,85672.08,64441.0,53473.0,2261087.0,80.0,65.41835732105842,17.797339642393236,16.79048378058872,146588.0
2007,Eastern Finland,43.18331310563386,41.599160884214555,44.72685588417102,6874.0,60.699999999999996,172.72093023255815,564984.0,8694.0,48432.1,10552.0,9340.0,574295.0,20.0,64.98309788523319,19.593278889769195,15.424646566659993,597.0
2007,Northern Finland,39.782564469957805,38.5441094881814,41.04895485499033,7765.0,59.494915254237284,169.64406779661016,643704.0,8370.0,149656.59,15240.0,9638.0,654646.0,1584.0,65.46411404025993,15.876183005777166,18.66131328993074,988.0
2007,Southern Finland,39.68970883895305,38.152725602084246,41.08845235471831,74390.0,54.75,125.5225,1545911.0,102764.0,17837.55,106472.0,107534.0,1765243.0,90.0,69.00996095155172,13.995940842139014,17.01086450987201,116478.0
2007,Western Finland,41.60581130008288,39.985317933176745,43.15600994501706,42745.0,59.59268292682927,137.21768292682927,2071880.0,52132.0,85670.38,68788.0,58117.0,2270886.0,83.0,65.55466461108132,17.811151286326126,16.637631699697828,146791.0
2008,Eastern Finland,43.469808124338925,41.917737178422506,45.0092493684275,7396.0,61.22558139534883,174.10697674418606,561834.0,9542.0,48429.31,11261.0,10136.0,571985.0,19.0,64.83268145143666,19.89998269185381,15.261974177644516,590.0
2008,Northern Finland,40.013434607385285,38.774653857581455,41.2363038526295,8368.0,59.777966101694915,171.3694915254237,644453.0,9249.0,149657.82,16087.0,10486.0,656305.0,1592.0,65.35378627315045,16.12152931944751,18.52671349448808,1011.0
2008,Southern Finland,39.84071605541012,38.33166351007444,41.241327396134096,80550.0,54.8625,126.3975,1552003.0,113183.0,17837.52,115793.0,117989.0,1781985.0,85.0,68.92700937437746,14.242446092419407,16.839416268936045,116714.0
2008,Western Finland,41.77470083228937,40.191213495532054,43.310562151595846,45925.0,59.92256097560975,138.97682926829268,2075985.0,57496.0,85670.6,73891.0,63541.0,2280577.0,82.0,65.4650663406673,18.03235185656963,16.523593590569405,147014.0
2009,Eastern Finland,43.737494500640636,42.170529568587305,45.25932454721211,8013.0,61.467441860465115,183.17674418604653,559617.0,10292.0,48425.54,11971.0,10884.0,570521.0,18.0,64.71337917447387,20.207071431200603,15.043594188469838,594.0
2009,Northern Finland,40.187737892032104,38.96149748212582,41.41423373404688,9273.0,60.05423728813559,180.27627118644065,645589.0,10285.0,149669.3,17065.0,11501.0,658492.0,1588.0,65.2524352611725,16.28757813306768,18.452005035748346,1030.0
2009,Southern Finland,40.00523277421824,38.5067986785092,41.39110931341676,87844.0,55.089999999999996,136.04500000000002,1557438.0,123067.0,17836.19,124318.0,127794.0,1797364.0,95.0,68.76572057746789,14.561907437781107,16.6763463049221,116764.0
2009,Western Finland,41.93901468494204,40.37112845174761,43.4409042028112,49448.0,60.396341463414636,148.91707317073173,2079734.0,62192.0,85672.03,78102.0,68253.0,2289420.0,88.0,65.30803391251933,18.29143403132671,16.397465733679272,147406.0
2010,Eastern Finland,43.9661655667412,42.45091896620474,45.453732163905,8454.0,62.82093023255814,177.05581395348835,557548.0,11095.0,48420.37,12679.0,11637.0,569281.0,19.0,64.34432731814343,20.759604659210478,14.916917480119661,619.0
2010,Northern Finland,40.372301771618375,39.163957815438,41.62240789915916,10065.0,60.93559322033898,173.4864406779661,646539.0,11289.0,149666.52,17997.0,12511.0,660526.0,1618.0,64.92528348619132,16.6721670305181,18.400755155739514,1080.0
2010,Southern Finland,40.143158618177004,38.70810429915209,41.51870158761704,94834.0,56.2375,133.60250000000002,1561554.0,133026.0,17835.739999999998,132733.0,137735.0,1811520.0,102.0,68.31610917903198,15.119627660748984,16.572255233174353,116838.0
2010,Western Finland,42.09160036463398,40.534480973111506,43.57703258426722,53433.0,61.57439024390244,145.10914634146343,2082391.0,67710.0,85666.34,82946.0,73690.0,2298195.0,93.0,64.90049269100317,18.78711619336044,16.318722040557915,148001.0
2011,Eastern Finland,44.19129218127262,42.680870201457026,45.66688921798656,9184.0,64.63953488372093,175.28837209302324,555767.0,12165.0,48417.65,13641.0,12670.0,568558.0,19.0,63.760503413899734,21.423956043182933,14.820278845781784,607.0
2011,Northern Finland,40.57552795031056,39.38446555927035,41.79184259979019,10752.0,62.73898305084746,170.91864406779663,647456.0,12294.0,149670.19,18918.0,13527.0,662515.0,1647.0,64.3627865029471,17.246718791272652,18.414077266175106,1118.0
2011,Southern Finland,40.310511624649166,38.84860103105251,41.69603278442729,103871.0,57.947500000000005,132.7475,1565394.0,145371.0,17835.73,143414.0,150049.0,1827453.0,100.0,67.7590104916515,15.723269928145895,16.52334008042888,116588.0
2011,Western Finland,42.247340118654265,40.71862582297049,43.71974049853514,58074.0,63.33719512195122,143.33963414634147,2084939.0,73643.0,85665.71,88304.0,79665.0,2307039.0,104.0,64.295998767251,19.437443276858346,16.26288159844719,148353.0
2012,Eastern Finland,44.41406153894958,42.93698205716119,45.83321354991866,9889.0,66.83023255813953,178.75348837209302,553465.0,13347.0,48416.54,14707.0,13829.0,567413.0,17.0,63.149470315273,22.13861473036395,14.719304809724132,584.0
2012,Northern Finland,40.75601950620221,39.562160286299736,41.94896333779485,11119.0,64.7271186440678,173.85593220338984,648274.0,13108.0,149667.78,19634.0,14347.0,664199.0,1659.0,63.75745913498816,17.81913492793575,18.403638216859704,1158.0
2012,Southern Finland,40.457984840855005,39.02553843802156,41.79607003800356,111670.0,59.625,134.7225,1569211.0,159034.0,17836.309999999998,155316.0,163729.0,1844827.0,112.0,67.21847593297366,16.291635909491784,16.46322018270548,116470.0
2012,Western Finland,42.410176582455115,40.903634209837364,43.84368326963968,61571.0,65.21280487804877,146.28475609756097,2086204.0,80063.0,85665.8,93903.0,86076.0,2314726.0,112.0,63.6464455404225,20.1094002918704,16.241183924144803,148347.0
2013,Eastern Finland,44.61397263031146,43.15870658712237,46.04682649679639,10534.0,69.04651162790698,183.646511627907,551355.0,14439.0,48416.54,15646.0,14915.0,566393.0,13.0,62.49974328778781,22.85020047917259,14.6475570849216,586.0
2013,Northern Finland,40.933656815505515,39.772456051284514,42.14303609622456,11646.0,67.00338983050847,180.20169491525422,648735.0,14154.0,149667.78,20627.0,15399.0,665776.0,1688.0,63.113949436447086,18.42639446300257,18.438389938958448,1199.0
2013,Southern Finland,40.60007241421143,39.156530645329255,41.944236172321126,119276.0,61.31,138.82999999999998,1573712.0,172635.0,17836.309999999998,166674.0,177226.0,1862894.0,116.0,66.66079889677029,16.84720000171776,16.472912307409867,116431.0
2013,Western Finland,42.577382658981456,41.091861630000764,44.00463030108742,64789.0,67.34085365853659,151.87987804878048,2085908.0,86387.0,85665.8,99388.0,92304.0,2320821.0,113.0,62.99616402988424,20.772834742532922,16.2373938791488,148413.0
2014,Eastern Finland,44.8124836570086,43.39383309714503,46.19515999766465,11049.0,71.59767441860464,187.62093023255812,549149.0,15461.0,48413.21,16567.0,15929.0,565227.0,16.0,61.910387331107664,23.535608525424298,14.557097237039276,601.0
2014,Northern Finland,41.15101597681883,40.01025865729896,42.35561454555276,12112.0,69.4677966101695,183.54745762711863,648465.0,15022.0,149668.26,21420.0,16257.0,666403.0,1690.0,62.518460000930375,19.08424511894454,18.396748814156002,1226.0
2014,Southern Finland,40.72628225388504,39.337859705244156,42.072118127941785,127248.0,62.94,142.7775,1576914.0,186201.0,17836.97,177728.0,190674.0,1879386.0,132.0,66.23634804132838,17.336375603521574,16.47985757050441,116139.0
2014,Western Finland,42.76564567692373,41.29049565701281,44.17359047510104,67942.0,69.15609756097561,154.70243902439026,2084547.0,92070.0,85669.61,104214.0,98059.0,2325358.0,111.0,62.42571337402671,21.36620984811801,16.202059811865528,148630.0
2015,Eastern Finland,45.0306911179018,43.61449140519435,46.397441356276495,11391.0,74.05116279069767,193.09767441860467,546426.0,16148.0,48412.61,17157.0,16494.0,563189.0,15.0,61.316909066050655,24.214822377567746,14.478422696466017,600.0
2015,Northern Finland,41.41169615571659,40.261484669096234,42.59835718874393,12539.0,71.76949152542372,185.0864406779661,647500.0,15790.0,149676.47,22041.0,16680.0,666236.0,1697.0,62.01171912055188,19.705143672812632,18.294092783938424,1249.0
2015,Southern Finland,40.91814682268052,39.496619729162454,42.21756047771019,133971.0,64.53999999999999,146.645,1580028.0,198794.0,17836.739999999998,187550.0,202578.0,1894789.0,126.0,65.82036258390775,17.736464587877595,16.442984786168804,115841.0
2015,Western Finland,42.95932134150925,41.516290509992594,44.35717505557405,70521.0,71.03963414634147,158.22134146341463,2082114.0,97236.0,85669.93000000001,108348.0,102352.0,2327975.0,118.0,61.910401357402904,21.958594830270943,16.13161206628078,148507.0
2016,Eastern Finland,45.24451426085343,43.845629381851374,46.604816024648905,12096.0,75.93488372093023,191.34418604651162,542865.0,17351.0,48412.15,18214.0,17709.0,560836.0,12.0,60.83300982818508,24.801084809106403,14.346403761527434,608.0
2016,Northern Finland,41.66216134262039,40.509539600096076,42.82819247628198,13443.0,73.87796610169492,182.49830508474577,645968.0,17225.0,149687.35,23389.0,18173.0,666160.0,1704.0,61.55500825627477,20.250049987990874,18.15493304911733,1263.0
2016,Southern Finland,41.03509991148276,39.643151475391996,42.40537224325292,142012.0,65.905,146.975,1582053.0,213785.0,17835.53,199647.0,217711.0,1911492.0,128.0,65.59020011593039,18.04242293454537,16.38621113768721,115526.0
2016,Western Finland,43.16237103269976,41.72021443335073,44.56159160669652,74636.0,72.60975609756098,157.05670731707318,2077486.0,103928.0,85672.81,114115.0,109253.0,2330048.0,124.0,61.53603307743017,22.428157016507818,16.05281745268767,148510.0
2017,Eastern Finland,45.52037774341679,44.14438206787313,46.87977149342801,12002.0,78.62790697674419,187.93023255813952,538424.0,17777.0,48413.28,18551.0,18127.0,556833.0,13.0,60.188705590365515,25.58641908794917,14.2182191069854,619.0
2017,Northern Finland,41.93688721546739,40.80962005178651,43.07708822653744,13620.0,76.00169491525425,176.96101694915257,644005.0,18018.0,149689.3,24067.0,18952.0,665038.0,1716.0,61.05478664377074,20.896190894354906,18.03069493773288,1299.0
2017,Southern Finland,41.24788247490434,39.82785188822885,42.562554631114416,145909.0,67.2775,143.66500000000002,1584478.0,226428.0,17835.57,209418.0,230319.0,1926329.0,137.0,65.28481323802944,18.381714805726332,16.345881207208116,115286.0
2017,Western Finland,43.37410252812424,41.939733735313546,44.77424679130284,76542.0,74.46829268292683,152.27195121951218,2072445.0,109428.0,85675.67,118636.0,114825.0,2330463.0,125.0,61.12830918148024,22.941019059302807,15.94445288339699,148465.0
2018,Eastern Finland,45.84698555724699,44.467995699212786,47.146493573255476,12056.0,81.40232558139536,184.70232558139534,533671.0,18155.0,48412.54,18800.0,18527.0,552457.0,16.0,59.64719824348321,26.28320575175987,14.071996010549237,615.0
2018,Northern Finland,42.2303330802237,41.11693363706489,43.35146140680745,13912.0,78.16271186440679,172.1084745762712,642003.0,18706.0,149690.11,24661.0,19636.0,663744.0,1715.0,60.72160531771286,21.51783006701379,17.796963136389937,1320.0
