Year,Province,"Average age, both sexes","Average age, men","Average age, women",Citizens of foreign countries,Demographic dependency ratio,Economic dependency ratio,Finnish speakers,Foreign-language speakers,"Land area, km²",Persons born abroad,Persons with foreign background,Population 31 Dec,Sami speakers,"Share of persons aged 15 to 64, %","Share of persons aged 65 or over, %","Share of persons aged under 15, %",Swedish speakers,Region,"Annual change, %","Annual change, % (real price index)",Average area m2,Index,Lower quartile,Medianprice,Number,Price per square meter (EUR/m2),Real price index,Upper quartile
2021,Northern Finland,42.98191985552165,41.855621902097226,44.08062476633824,16135.0,83.50338983050847,168.84406779661015,638405.0,21850.0,149705.62,27527.0,22772.0,663352.0,1728.0,59.94330641951784,23.158664479793533,16.929087874914075,1369.0,Northern Finland,7.8,4.2,4100.0,143.3,3.0,6.9,144.0,8.7,133.4,20.9
2021,Southern Finland,42.00402946188262,40.617890573767376,43.31895080655574,177173.0,70.56,141.355,1577799.0,282684.0,17835.88,254318.0,287008.0,1974755.0,148.0,64.79045785426547,19.561446761750194,15.651598350175085,114124.0,Southern Finland,5.9,2.3,2358.0,121.6,12.6,40.1,499.0,39.3,113.2,87.1
2021,Western Finland,44.309740576490974,42.91100113076108,45.666878002110636,88546.0,80.59451219512195,151.14451219512196,2052492.0,131322.0,85686.74,137423.0,137053.0,2332942.0,135.0,60.22812110202483,24.6965849129554,15.087050899679461,148993.0,Western Finland,-1.0,-4.3,3095.0,100.9,4.0,12.0,315.0,15.3,93.9,33.3
2022,Eastern Finland,46.82571188133463,45.520647148035806,48.10431752607827,14677.0,91.14883720930233,181.6627906976744,517799.0,22191.0,48416.17,22592.0,22624.0,540680.0,12.0,57.96520733150846,28.78338185248206,13.241999334171782,678.0,Eastern Finland,29.8,19.2,3724.0,103.5,1.5,5.4,50.0,9.8,88.6,16.8
2022,Northern Finland,43.16554485946483,42.07192012177553,44.260851402787026,17797.0,84.97457627118644,167.14915254237286,635798.0,23956.0,149711.63,29487.0,24838.0,662859.0,1734.0,59.880002081890716,23.54853943297142,16.574970695125206,1371.0,Northern Finland,-24.9,-31.0,3583.0,107.6,3.2,6.5,86.0,10.3,92.0,18.8
2022,Southern Finland,42.100667397446365,40.76399846676928,43.41935306907375,193378.0,71.19500000000001,138.6175,1570850.0,305979.0,17839.14,275112.0,310673.0,1990568.0,147.0,64.87655684206719,19.66056236209966,15.437600071939267,113592.0,Southern Finland,1.2,-7.0,2418.0,123.0,12.5,53.4,243.0,45.8,105.2,105.0
2022,Western Finland,44.45728982523424,43.084712297808046,45.799697552080886,96414.0,81.54939024390244,148.60548780487804,2045303.0,142020.0,85690.4,147354.0,147947.0,2336270.0,141.0,60.278193701926575,24.89966292423393,14.818410372088843,148806.0,Western Finland,13.1,3.9,2839.0,114.0,2.0,10.0,167.0,17.1,97.6,32.3
2023,Eastern Finland,46.99006837211453,45.68363047601426,48.257683674885506,18830.0,92.97209302325582,185.37906976744188,513017.0,26730.0,48417.880000000005,27056.0,27182.0,540425.0,13.0,57.80040930748948,29.143298515057594,13.063869362076142,665.0,Eastern Finland,-53.0,-54.8,4512.0,48.6,1.0,4.0,37.0,4.9,40.0,10.0
2023,Northern Finland,43.35010812331927,42.27263163280509,44.434725869388245,21915.0,85.94915254237289,170.3406779661017,632800.0,28591.0,149721.61,34023.0,29518.0,664519.0,1748.0,59.97926379832631,23.809984515115445,16.207553132416077,1380.0,Northern Finland,47.5,42.0,3427.0,158.7,3.1,12.8,95.0,13.4,130.7,58.6
2023,Southern Finland,42.2273685265169,40.888273033527305,43.50683154212886,215386.0,71.3925,141.5925,1566160.0,336836.0,17840.68,303146.0,341944.0,2016148.0,151.0,65.06157995345579,19.722638516616836,15.210124008753324,113001.0,Southern Finland,-11.0,-14.4,2659.0,109.5,4.1,31.0,212.0,38.0,90.1,103.4
2023,Western Finland,44.55908275758442,43.184444839840985,45.88975259858533,115273.0,82.16341463414633,151.4719512195122,2036423.0,164116.0,85696.54,168739.0,170354.0,2349259.0,138.0,60.46086131839869,24.960942492930748,14.56387775890185,148582.0,Western Finland,17.6,13.2,3074.0,134.1,3.1,9.8,142.0,16.8,110.4,35.0
2024,Eastern Finland,47.166380704891154,45.858775602370606,48.43347363043744,22999.0,94.94186046511628,,508317.0,31292.0,48793.04,31509.0,31783.0,540282.0,12.0,57.658103916103066,29.531193895039998,12.811280960683495,661.0,Eastern Finland,28.8,27.6,4276.0,62.6,1.2,5.1,44.0,6.9,51.1,25.0
2024,Northern Finland,43.60750887263013,42.51286452318177,44.69451395152389,24541.0,87.01694915254237,,629198.0,31758.0,149726.9,37018.0,32681.0,664121.0,1783.0,60.0291918189607,24.212921139370685,15.755841480694032,1382.0,Northern Finland,-35.6,-36.2,2962.0,102.2,1.8,6.8,79.0,14.6,83.3,57.9
2024,Southern Finland,42.3510009132447,41.03462983655324,43.657046043530514,231495.0,71.63,,1562969.0,361986.0,17843.29,325304.0,367630.0,2037789.0,147.0,65.15148226828194,19.86781074978813,14.974799598977127,112687.0,Southern Finland,6.7,5.7,2750.0,116.8,7.5,39.6,178.0,29.6,95.3,93.0
2024,Western Finland,44.70831477467165,43.35448947335199,46.05363123497956,130443.0,82.7109756097561,,2028959.0,183016.0,85702.45,186759.0,189501.0,2360533.0,134.0,60.583970145725566,25.162819159910075,14.255733217879184,148424.0,Western Finland,-34.4,-35.0,2843.0,88.0,3.5,11.0,153.0,14.3,71.8,34.0
